                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8008,                 2.0178,                 2.3697,                0.75179,                0.61167,                 0.7065,                0.49748,                 2.1911,                 2.1906,                 2.7193,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.8525,                 1.9308,                 2.3955,                0.71014,                 0.7221,                0.74988,                0.55022,                 2.0465,                 1.9788,                 2.6166,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.7457,                 1.8427,                  2.333,                0.77877,                0.69439,                0.74853,                0.52682,                  2.088,                 1.9946,                 2.7179,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.7176,                 1.7932,                 2.3126,                0.82431,                0.64937,                0.74609,                0.53994,                 2.0347,                 1.8375,                 2.7448,              0.0010564,              0.0010564,              0.0010564
                     39,                  1.727,                  1.826,                 2.3496,                0.74576,                0.71002,                0.75301,                0.53489,                 2.1036,                 1.9972,                 2.7406,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.7915,                 1.8668,                 2.3473,                0.68012,                0.75992,                0.75234,                0.56016,                 2.0069,                 2.0038,                 2.6348,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.7389,                 1.8181,                 2.3421,                0.78185,                 0.7058,                0.75042,                0.54524,                 2.1267,                 1.9242,                 2.8169,              0.0010069,              0.0010069,              0.0010069
                     42,                  1.666,                 1.7671,                  2.338,                0.87073,                0.67644,                0.76518,                0.53228,                 2.3118,                 2.2066,                 2.9227,             0.00099036,             0.00099036,             0.00099036
                     43,                  1.744,                 1.7406,                 2.3436,                0.82253,                0.65336,                 0.7611,                0.52853,                 2.1422,                 2.2308,                 2.7412,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.7552,                 1.7812,                 2.2846,                0.76796,                0.67382,                0.76776,                0.52339,                 2.1444,                 2.3422,                 2.7482,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.6593,                  1.668,                 2.2645,                 0.7742,                 0.7017,                0.75913,                0.55684,                 2.0057,                 1.9988,                 2.6676,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.6973,                 1.6805,                 2.2823,                0.77471,                 0.6616,                0.75897,                0.54164,                 2.0198,                  1.948,                 2.6401,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.6694,                  1.633,                 2.3123,                0.79665,                0.71082,                0.77951,                0.56684,                 2.0116,                 1.8076,                 2.6047,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.6073,                 1.6309,                 2.2836,                0.85113,                0.68754,                0.79448,                0.56161,                 2.0758,                 1.8586,                 2.6533,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.6139,                 1.5889,                 2.2451,                0.80638,                0.72433,                0.78376,                0.53261,                 2.2475,                 1.9764,                 2.8258,             0.00087484,             0.00087484,             0.00087484
                     50,                  1.674,                 1.6632,                 2.2608,                 0.8021,                0.67571,                0.76966,                0.54244,                 2.1132,                 2.0349,                 2.7058,             0.00085834,             0.00085834,             0.00085834
                     51,                  1.716,                 1.6773,                  2.279,                0.72816,                 0.6728,                0.73377,                0.50865,                 2.0801,                 1.9206,                  2.705,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.6268,                 1.5322,                 2.2341,                0.82287,                0.68357,                0.75766,                0.54582,                 1.9457,                 1.8782,                 2.5987,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.5663,                 1.5881,                 2.2323,                0.79538,                0.70478,                0.78014,                0.56832,                 1.9823,                 1.8834,                 2.6257,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.6028,                 1.5735,                 2.2466,                 0.7954,                0.70478,                0.77633,                0.57229,                 1.9946,                 1.8135,                 2.6248,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.5811,                 1.5848,                 2.2058,                0.77154,                 0.6959,                0.76724,                0.55563,                 2.0915,                 1.7714,                  2.691,             0.00077582,             0.00077582,             0.00077582
